"scenario_id","truth_class","n","design_layer","analysis_conclusion","status","overall_score","fragility_component","bootstrap_reproducibility","jackknife_stability"
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",51.1428571428571,14.2857142857143,88,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",51.1632653061224,16.3265306122449,86,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",43.0612244897959,6.12244897959184,80,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",59.2448979591837,24.4897959183673,94,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",53.2040816326531,20.4081632653061,86,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",53.1836734693878,18.3673469387755,88,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",19.0204081632653,2.04081632653061,36,50.625
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",55.1632653061224,16.3265306122449,94,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",53.1632653061224,16.3265306122449,90,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",27.0204081632653,2.04081632653061,52,45.625
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",41.0816326530612,8.16326530612245,74,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",31.0408163265306,4.08163265306122,58,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",52.1836734693878,18.3673469387755,86,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",32.0408163265306,4.08163265306122,60,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",51.1428571428571,14.2857142857143,88,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",29.0204081632653,2.04081632653061,56,75
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",46.1020408163265,10.2040816326531,82,100
"lm_ancova_v2_core_n160_r2_40_borderline","borderline",160,"core","significant","completed",29.0204081632653,2.04081632653061,56,51.25
